type,edge_num,rec,thick,add,num_of_elements,mean,sd
d,3,f,8,3,29,3.73131130124443,1.83417832136462
m,3,f,8,3,29,53.7652480639605,26.0606312942633
d,3,f,8,5,29,3.6116007382694,1.61181644281293
m,3,f,8,5,29,52.3406476800427,26.826624081014
d,3,f,8,7,29,3.79145740036015,1.61251081463612
m,3,f,8,7,29,44.1203273478658,20.0230490912697
d,4,a,0,0,29,1.41792991220345,0.570620687537243
m,4,a,0,0,29,345.458989959952,113.728926215058
d,4,a,0,1,29,1.55013879164138,0.688572262950023
m,4,a,0,1,29,305.596062023617,82.9530165935475
d,4,a,0,2,29,1.63136636334483,0.640266535265231
m,4,a,0,2,29,286.26410887025,84.1189344319478
d,4,a,0,3,29,1.64157131517931,0.543331384633936
m,4,a,0,3,29,284.209868027722,83.0824709396839
d,4,a,0,5,29,1.63930574065862,0.517171305451926
m,4,a,0,5,29,284.244976692622,90.7775170889022
d,4,a,0,7,29,1.71897226158966,0.561509141435634
m,4,a,0,7,29,275.20347671566,92.562634222716
d,4,a,5,0,29,1.61397920738621,0.584963169957332
m,4,a,5,0,29,297.997211034353,96.9211049136758
d,4,a,5,1,29,1.63827041731724,0.568628093362533
m,4,a,5,1,29,279.804494746485,71.0411541235743
d,4,a,5,2,29,1.77406207988276,0.637485990707582
m,4,a,5,2,29,262.020377512902,72.1461666040899
d,4,a,5,3,29,1.81335363243448,0.668734639137522
m,4,a,5,3,29,260.200378148303,76.702009009274
d,4,a,5,5,29,1.81969805304138,0.601974093988569
m,4,a,5,5,29,258.480484603934,80.6861274479611
d,4,a,5,7,29,1.91217846502414,0.685548503480268
m,4,a,5,7,29,251.203857223274,84.4768256627961
d,4,a,8,0,29,1.82166367981379,0.709997505399834
m,4,a,8,0,29,266.32535309136,96.4941829605017
d,4,a,8,1,29,1.82008474282759,0.67073366270643
m,4,a,8,1,29,255.840196509916,74.0879804038609
d,4,a,8,2,29,1.94533670834138,0.674733009937769
m,4,a,8,2,29,237.989236390763,69.294789171179
d,4,a,8,3,29,1.93975673137241,0.659901663303502
m,4,a,8,3,29,239.023198935119,72.3340873089291
d,4,a,8,5,29,2.00631720370345,0.709930142766503
m,4,a,8,5,29,235.127726344758,78.2022750431642
d,4,a,8,7,29,2.28361067945257,1.28024500976182
m,4,a,8,7,29,227.143939562709,86.2065286273637
d,4,f,0,0,29,1.30866227892387,0.690319280924747
m,4,f,0,0,29,427.440661084288,194.056379927923
d,4,f,0,1,28,1.59218500194533,0.898186212473144
m,4,f,0,1,28,338.18373146047,129.812074900079
d,4,f,0,2,29,1.50730504766944,0.653962371700914
m,4,f,0,2,29,317.406940611858,103.404759405884
d,4,f,0,3,29,1.63670077788496,0.614121626709653
m,4,f,0,3,29,299.267334582193,117.536294597058
d,4,f,0,5,29,1.62983658235776,0.642386055536606
m,4,f,0,5,29,305.840010504977,131.31332470886
d,4,f,0,7,29,1.64331898850749,0.638948929205055
