pat,thick,add,phase,best,rec,d1,min1,max1,d2,min2,max2,d3,min3,max3,d4,min4,max4,comment
07,0,3,6,1,AIDR,2.003125,75,448,1.88,80,480,2.6901785714,66,467,1.1940151515,-809,98,
07,0,5,5,1,AIDR,2.6725,79,472,1.6208333333,92,430,3.1883333333,63,445,1.1633333333,-794,90,
07,0,7,4,1,AIDR,2.3098214286,84,435,1.5831168831,82,420,4.5583333333,63,478,1.1578892372,-783,85,
07,5,0,7,1,AIDR,1.2316993464,76,459,2.1885416667,113,540,1.9513888889,60,343,1.32284375,-823,58,
07,5,1,7,1,AIDR,1.42625,72,373,2.173125,107,518,6.9877777778,81,570,1.2650841346,-803,70,
07,5,2,6,1,AIDR,1.7267857143,85,482,2.2958333333,89,460,5.9452380952,43,506,1.2944827586,-816,72,
07,5,3,6,1,AIDR,1.7479166667,88,418,2.2033333333,82,484,5.3,57,539,1.2856666667,-805,81,
07,5,5,5,1,AIDR,2.228125,90,445,2.1041666667,91,440,4.6066666667,58,505,1.3248798077,-802,80,
07,5,7,4,1,AIDR,2.05,89,419,1.94375,85,423,5.0375,62,481,1.3071949602,-792,81,
07,8,0,7,1,AIDR,1.4712301587,84,471,2.325,85,521,6.8166666667,65,521,1.5632326007,-815,70,
07,8,1,7,1,AIDR,1.5416666667,79,379,2.2920138889,98,517,6.57625,76,558,1.4442278861,-807,67,
07,8,2,6,1,AIDR,1.8412698413,88,483,2.359375,86,455,6.2476190476,48,500,1.4425084175,-813,69,
07,8,3,6,1,AIDR,1.8380952381,94,410,2.319047619,84,478,6.0342857143,63,538,1.4482323232,-803,79,
07,8,5,5,1,AIDR,2.2025,90,433,2.2770833333,87,437,5.6458333333,66,501,1.4766116942,-803,78,
07,8,7,4,1,AIDR,2.130952381,89,413,2.1666666667,81,421,5.7075,68,478,1.4547275641,-796,81,
07,0,0,7,1,FBP,0.2997904247,86,595,1.3230519481,74,590,1.5138960041,52,495,0.8608821263,-770,209,
07,0,1,7,1,FBP,2.6705882353,-1,579,1.5692121212,80,496,1.4518939394,26,496,1.2363906089,-863,144,
07,0,2,6,1,FBP,0.9853571429,110,463,1.3674718196,96,476,1.2640086207,60,408,1.0796774194,-867,146,
